"RvNumber"	"Mtnumber"	"Gene_Symbol"	"Gene_Description"
"Rv2470"	"MT2546"	"glbO"	"hemoglobin-like, oxygen carrier"
"Rv2471"	"MT2547"	"Rv2471"	"probable maltase [alpha]-glucosidase"
"Rv2472"	"MT2547.1"	"Rv2472"	"hypothetical protein"
"Rv2473"	"MT2548"	"Rv2473"	"probable membrane protein"
"Rv2474c"	"MT2549"	"Rv2474c"	"hypothetical protein"
"Rv2475c"	"MT2550"	"Rv2475c"	"conserved hypothetical protein"
"Rv2476c"	"MT2551"	"Rv2476c"	"hypothetical protein"
"Rv2477c"	"MT2552"	"Rv2477c"	"ABC-transporter ATP binding protein"
"Rv2478c"	"MT2553"	"Rv2478c"	"hypothetical protein"
"Rv2479c"	"MT2881"	"Rv2479c"	"possible IS6110 transposase"
"Rv2480c"	NA	"Rv2480c"	"possible IS6110 transposase"
"Rv2481c"	NA	"Rv2481c"	"hypothetical protein"
"Rv2482c"	"MT2555"	"plsB2"	"glycerol-3-phosphate acyltransferase"
"Rv2483c"	"MT2556"	"Rv2483c"	"possible transferase"
"Rv2484c"	"MT2557"	"Rv2484c"	"conserved hypothetical protein"
"Rv2485c"	"MT2559"	"lipQ"	"probable carboxlyesterase"
"Rv2486"	"MT2560"	"echA14"	"enoyl-CoA hydratase/isomerase superfamily"
"Rv2487c"	"MT2561"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv2488c"	"MT2563"	"Rv2488c"	"transcriptional regulator (LuxR/UhpA family)"
"Rv2489c"	NA	"Rv2489c"	"hypothetical protein"
"Rv2490c"	"MT2564"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv2491"	"MT2566"	"Rv2491"	"hypothetical protein"
"Rv2492"	"MT2567"	"Rv2492"	"hypothetical protein"
"Rv2493"	"MT2568"	"Rv2493"	"conserved hypothetical protein"
"Rv2494"	NA	"Rv2494"	"conserved hypothetical protein"
"Rv2495c"	"MT2570"	"pdhC"	"dihydrolipoamide acetyltransferase"
"Rv2496c"	"MT2571"	"pdhB"	"pyruvate dehydrogenase E1 component [beta] subunit"
"Rv2497c"	"MT2572"	"pdhA"	"pyruvate dehydrogenase E1 component [alpha] subunit"
"Rv2498c"	"MT2573"	"citE"	"citrate lyase [beta] chain"
"Rv2499c"	"MT2574"	"Rv2499c"	"putative aldehyde dehydrogenase"
"Rv2500c"	"MT2575"	"fadE19"	"acyl-CoA dehydrogenase (aka mmgC)"
"Rv2501c"	NA	"accA1"	"acetyl/propionyl-CoA carboxylase, [alpha] subunit"
"Rv2502c"	"MT2577"	"accD1"	"acetyl/propionyl-CoA carboxylase, [beta] subunit"
"Rv2503c"	"MT2578"	"scoB"	"3-oxo acid:CoA transferase, [beta] subunit"
"Rv2504c"	"MT2579"	"scoA"	"3-oxo acid:CoA transferase, [alpha] subunit"
"Rv2505c"	"MT2580"	"fadD35"	"acyl-CoA synthase"
"Rv2506"	"MT2581"	"Rv2506"	"transcriptional regulator (TetR/AcrR family)"
"Rv2507"	"MT2582"	"Rv2507"	"probable membrane spanning protein"
"Rv2508c"	"MT2583"	"Rv2508c"	"possible membrane protein"
"Rv2509"	"MT2584"	"Rv2509"	"putative oxidoreductase"
"Rv2510c"	"MT2585"	"Rv2510c"	"conserved hypothetical protein"
"Rv2511"	"MT2586"	"Rv2511"	"conserved hypothetical protein"
"Rv2512c"	"MT3107"	"Rv2512c"	"possible IS1081 transposase"
"Rv2513;Rv2513"	NA	NA	NA
"Rv2514c"	NA	"Rv2514c"	"hypothetical protein"
"Rv2515c"	"MT2591"	"Rv2515c"	"hypothetical protein"
"Rv2516c"	"MT2593"	"Rv2516c"	"hypothetical protein"
"Rv2517c"	"MT2593.1"	"Rv2517c"	"hypothetical protein"
"Rv2518c"	"MT2594"	"lppS"	"lipoprotein"
"Rv2519"	"MT2595"	"PE"	"PE-family protein"
"Rv2520c"	"MT2596"	"Rv2520c"	"conserved hypothetical protein"
"Rv2521"	"MT2597"	"bcp"	"bacterioferritin comigratory protein"
"Rv2522c"	"MT2598"	"Rv2522c"	"conserved hypothetical protein"
"Rv2523c"	"MT2599"	"acpS"	"CoA:apo-[ACP] pantethienephosphotransferase"
"Rv2524c"	"MT2600"	"fas"	"fatty acid synthase"
"Rv2525c"	"MT2601"	"Rv2525c"	"hypothetical protein"
"Rv2526"	"MT2601.2"	"Rv2526"	"conserved hypothetical protein"
"Rv2527"	"MT2602"	"Rv2527"	"conserved hypothetical protein"
"Rv2528c"	"MT2603"	"mrr"	"restriction system protein"
"Rv2529"	"MT2604"	"Rv2529"	"hypothetical protein"
"Rv2530c"	"MT2605"	"Rv2530c"	"conserved hypothetical protein"
"Rv2531c"	"MT2607"	"adi"	"ornithine/arginine decarboxylase"
"Rv2532c"	NA	"Rv2532c"	"hypothetical protein"
"Rv2533c"	"MT2608"	"nusB"	"N-utilisation substance protein B"
"Rv2534c"	"MT2609"	"efp"	"elongation factor P"
"Rv2535c"	NA	"pepQ"	"cytoplasmic peptidase"
"Rv2536"	"MT2611"	"Rv2536"	"potential membrane protein"
"Rv2537c"	"MT2612"	"aroD"	"3-dehydroquinate dehydratase"
"Rv2538c"	"MT2613"	"aroB"	"3-dehydroquinate synthase"
"Rv2539c"	"MT2614"	"aroK"	"shikimate kinase I"
"Rv2540c"	"MT2615"	"aroF"	"chorismate synthase"
"Rv2541"	NA	"Rv2541"	"hypothetical protein"
"Rv2542"	"MT2616"	"Rv2542"	"conserved hypothetical protein"
"Rv2543"	"MT2618"	"lppA"	"lipoprotein"
"Rv2544"	"MT2620"	"lppB"	"lipoprotein"
"Rv2545"	"MT2621"	"Rv2545"	"conserved hypothetical protein"
"Rv2546"	"MT2622"	"Rv2546"	"conserved hypothetical protein"
"Rv2547"	"MT2623"	"Rv2547"	"conserved hypothetical protein"
"Rv2548"	"MT2624"	"Rv2548"	"conserved hypothetical protein"
"Rv2549c"	NA	"Rv2549c"	"hypothetical protein"
"Rv2550c"	NA	"Rv2550c"	"hypothetical protein"
"Rv2551c"	NA	"Rv2551c"	"hypothetical protein"
"Rv2552c"	"MT2629"	"aroE"	"shikimate 5-dehydrogenase"
"Rv2553c"	"MT2630"	"Rv2553c"	"hypothetical protein"
"Rv2554c"	NA	"Rv2554c"	"hypothetical protein"
"Rv2555c"	"MT2632"	"alaS"	"alanyl-tRNA synthase"
"Rv2556c"	"MT2633"	"Rv2556c"	"conserved hypothetical protein"
"Rv2557"	"MT2634"	"Rv2557"	"conserved hypothetical protein"
"Rv2558"	"MT2635"	"Rv2558"	"conserved hypothetical protein"
"Rv2559c"	"MT2636"	"Rv2559c"	"conserved hypothetical protein"
"Rv2560"	"MT2637"	"Rv2560"	"probableproable membrane protein"
"Rv2561"	NA	"Rv2561"	"hypothetical protein"
"Rv2562"	"MT2638"	"Rv2562"	"hypothetical protein"
"Rv2563"	"MT2639"	"Rv2563"	"possible membrane protein"
"Rv2564"	"MT2640"	"glnQ"	"probable ATP-binding transport protein"
"Rv2565"	"MT2641"	"Rv2565"	"conserved hypothetical protein"
"Rv2566"	"MT2642"	"Rv2566"	"hypothetical protein"
"Rv2567"	"MT2643"	"Rv2567"	"conserved hypothetical protein"
"Rv2568c"	"MT2644"	"Rv2568c"	"conserved hypothetical protein"
"Rv2569c"	"MT2645"	"Rv2569c"	"conserved hypothetical protein"
"Rv2570"	NA	"Rv2570"	"hypothetical protein"
"Rv2571c"	"MT2647"	"Rv2571c"	"conserved hypothetical protein"
"Rv2572c"	"MT2648"	"aspS"	"aspartyl-tRNA synthase"
"Rv2573"	"MT2649"	"Rv2573"	"hypothetical protein"
"Rv2574"	NA	"Rv2574"	"hypothetical protein"
"Rv2575"	"MT2651"	"Rv2575"	"conserved hypothetical protein"
"Rv2576c"	"MT2652"	"Rv2576c"	"hypothetical protein"
"Rv2577"	"MT2654"	"Rv2577"	"hypothetical protein"
"Rv2578c"	"MT2655"	"Rv2578c"	"hypothetical protein"
"Rv2579"	"MT2656"	"linB"	"1,3,4,6-tetrachloro-1,4-cyclohexadiene hydrolase"
"Rv2580c;Rv2580c"	NA	NA	NA
"Rv2581c"	"MT2658"	"Rv2581c"	"putative glyoxylase II"
"Rv2582"	"MT2659"	"ppiB"	"peptidyl-prolyl cis-trans isomerase"
"Rv2583c"	"MT2660"	"relA"	"(p)ppGpp synthase I"
"Rv2584c"	"MT2661"	"apt"	"adenine phosphoribosyltransferases"
"Rv2585c"	"MT2662"	"Rv2585c"	"conserved hypothetical protein"
"Rv2586c"	"MT2663"	"secF"	"protein-export membrane protein"
"Rv2587c"	"MT2664"	"secD"	"protein-export membrane protein"
"Rv2588c"	"MT2665"	"Rv2588c"	"conserved hypothetical protein"
"Rv2589"	"MT2666"	"gabT"	"4-aminobutyrate aminotransferase"
"Rv2590"	"MT2667"	"fadD9"	"acyl-CoA synthase"
"Rv2591"	"MT2668.1"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv2592c"	"MT2669"	"ruvB"	"Holliday junction binding protein"
"Rv2593c"	"MT2670"	"ruvA"	"Holliday junction binding protein, DNA helicase"
"Rv2594c"	"MT2671"	"ruvC"	"Holliday junction resolvase, endodeoxyribonuclease"
"Rv2595"	NA	"Rv2595"	"conserved hypothetical protein"
"Rv2596"	"MT2672"	"Rv2596"	"conserved hypothetical protein"
"Rv2597"	"MT2673"	"Rv2597"	"hypothetical protein"
"Rv2598;Rv2598"	NA	NA	NA
"Rv2599"	"MT2674"	"Rv2599"	"conserved hypothetical protein"
"Rv2600"	"MT2674.1"	"Rv2600"	"conserved hypothetical protein"
"Rv2601"	"MT2675"	"speE"	"spermidine synthase"
"Rv2602"	"MT2677"	"Rv2602"	"conserved hypothetical protein"
"Rv2603c"	"MT2678"	"Rv2603c"	"conserved hypothetical protein"
"Rv2604c"	"MT2679"	"Rv2604c"	"conserved hypothetical protein"
"Rv2605c"	"MT2680"	"tesB2"	"thioesterase II"
"Rv2606c"	"MT2681"	"Rv2606c"	"conserved hypothetical protein"
"Rv2607"	"MT2682"	"pdxH"	"pyridoxamine 5 -phosphate oxidase"
"Rv2608"	"MT2683"	"PPE"	"PPE-family protein"
"Rv2609c"	"MT2684"	"Rv2609c"	"conserved hypothetical protein"
"Rv2610c"	"MT2685"	"Rv2610c"	"glycosyltransferase"
"Rv2611c"	"MT2686"	"Rv2611c"	"conserved hypothetical protein"
"Rv2612c"	"MT2687"	"pgsA"	"CDP-diacylglycerol-glycerol-3-phosphate"
"Rv2613c"	"MT2688"	"Rv2613c"	"conserved hypothetical protein"
"Rv2614c"	NA	"thrS"	"threonyl-tRNA synthase"
"Rv2615c"	"MT2690"	"PE_PGRS"	"PE-family protein"
"Rv2616"	"MT2691.1"	"Rv2616"	"hypothetical protein"
"Rv2617c"	"MT2692"	"Rv2617c"	"hypothetical protein"
"Rv2618"	NA	"Rv2618"	"conserved hypothetical protein"
"Rv2619c"	NA	"Rv2619c"	"hypothetical protein"
"Rv2620c"	NA	"Rv2620c"	"conserved hypothetical protein"
"Rv2621c"	"MT2696"	"Rv2621c"	"putative transcriptional regulator"
"Rv2622"	NA	"Rv2622"	"similar to SAM-dependent methyltransferase"
"Rv2623"	"MT2698"	"Rv2623"	"conserved hypothetical protein"
"Rv2624c"	"MT2699"	"Rv2624c"	"conserved hypothetical protein"
"Rv2625c"	"MT2700"	"Rv2625c"	"conserved hypothetical protein"
"Rv2626c"	"MT2701"	"Rv2626c"	"conserved hypothetical protein"
"Rv2627c"	"MT2702"	"Rv2627c"	"conserved hypothetical protein"
"Rv2628"	"MT2703"	"Rv2628"	"hypothetical protein"
"Rv2629"	"MT2704"	"Rv2629"	"hypothetical protein"
"Rv2630"	"MT2705"	"Rv2630"	"hypothetical protein"
"Rv2631"	"MT2707"	"Rv2631"	"conserved hypothetical protein"
"Rv2632c"	"MT2708"	"Rv2632c"	"conserved hypothetical protein"
"Rv2633c"	"MT2709"	"Rv2633c"	"hypothetical protein"
"Rv2634c"	"MT2712"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv2635"	"MT2713"	"Rv2635"	"hypothetical protein"
"Rv2636"	"MT2714"	"Rv2636"	"hypothetical protein"
"Rv2637"	"MT2715"	"dedA"	"dedA family"
"Rv2638"	"MT2716"	"Rv2638"	"conserved hypothetical protein"
"Rv2639c"	"MT2717"	"Rv2639c"	"conserved hypothetical protein"
"Rv2640c"	NA	"Rv2640c"	"transcriptional regulator (ArsR family)"
"Rv2641"	"MT2719"	"Rv2641"	"conserved hypothetical protein"
"Rv2642"	NA	"Rv2642"	"transcriptional regulator (ArsR family)"
"Rv2643"	"MT2720"	"arsC"	"probable arsenical pump"
"Rv2644c"	NA	"Rv2644c"	"hypothetical protein"
"Rv2645"	"MT2723"	"Rv2645"	"hypothetical protein"
"Rv2646"	"MT2724"	"Rv2646"	"phiRV2 integrase"
"Rv2647"	NA	"Rv2647"	"phiRV2 phage related protein"
"Rv2648"	NA	"Rv2648"	"possible IS6110 transposase"
"Rv2649"	"MT2881"	"Rv2649"	"possible IS6110 transposase"
"Rv2650c"	"MT2727"	"Rv2650c"	"phiRV2 phage related protein"
"Rv2651c"	NA	"Rv2651c"	"phiRV2 prohead protease"
"Rv2652c"	"MT2729"	"Rv2652c"	"phiRV2 phage related protein"
"Rv2653c"	"MT2730"	"Rv2653c"	"phiRV2 phage related protein"
"Rv2654c"	NA	"Rv2654c"	"phiRV2 phage related protein"
"Rv2655c"	"MT2732"	"Rv2655c"	"phiRV2 phage related protein"
"Rv2656c"	NA	"Rv2656c"	"phiRV2 phage related protein"
"Rv2657c"	"MT2734"	"Rv2657c"	"similar to gp36 of mycobacteriophage L5"
"Rv2658c"	NA	"Rv2658c"	"phiRV2 phage related protein"
"Rv2659c"	"MT2735"	"Rv2659c"	"phiRV2 integrase"
"Rv2660c"	"MT2736"	"Rv2660c"	"hypothetical protein"
"Rv2661c"	NA	"Rv2661c"	"hypothetical protein"
"Rv2662"	NA	"Rv2662"	"hypothetical protein"
"Rv2663"	NA	"Rv2663"	"hypothetical protein"
"Rv2664"	"MT2738"	"Rv2664"	"hypothetical protein"
"Rv2665"	NA	"Rv2665"	"conserved hypothetical protein"
"Rv2666"	NA	"Rv2666"	"possible IS1081 transposase"
"Rv2667"	"MT2741"	"clpX "	"similar to ClpC from M. leprae but shorter"
"Rv2668"	NA	"Rv2668"	"hypothetical protein"
"Rv2669"	"MT2743"	"Rv2669"	"putative transcriptional regulator"
"Rv2670c"	"MT2744"	"Rv2670c"	"conserved hypothetical protein"
"Rv2671"	"MT2745"	"ribD"	"probable riboflavin deaminase"
"Rv2672"	"MT2746"	"Rv2672"	"putative exported protease"
"Rv2673"	"MT2747"	"Rv2673"	"potential membrane protein"
"Rv2674"	NA	"Rv2674"	"conserved hypothetical protein"
"Rv2675c"	"MT2749"	"Rv2675c"	"putative methyltransferase"
"Rv2676c"	"MT2750"	"Rv2676c"	"conserved hypothetical protein"
"Rv2677c"	"MT2751"	"hemY "	"protoporphyrinogen oxidase"
"Rv2678c"	"MT2752"	"hemE"	"uroporphyrinogen decarboxylase"
"Rv2679"	"MT2753"	"echA15"	"enoyl-CoA hydratase/isomerase superfamily"
"Rv2680"	"MT2754"	"Rv2680"	"conserved hypothetical protein"
"Rv2681"	"MT2755"	"Rv2681"	"conserved hypothetical protein"
"Rv2682c"	"MT2756"	"dxs"	"1-deoxy-D-xylulose 5-phosphate synthase"
"Rv2683"	"MT2757"	"Rv2683"	"conserved hypothetical protein"
"Rv2684"	"MT2758"	"arsA"	"probable arsenical pump"
"Rv2685"	"MT2759"	"arsB"	"probable arsenical pump"
"Rv2686c"	"MT2760"	"Rv2686c"	"possible membrane protein"
"Rv2687c"	"MT2761"	"Rv2687c"	"hypothetical protein"
"Rv2688c"	"MT2762"	"Rv2688c"	"similar to transport ATP-binding proteins"
"Rv2689c"	NA	"Rv2689c"	"weak similarity to RNA methyltransferases"
"Rv2690c"	"MT2764"	"Rv2690c"	"possible transport protein"
"Rv2691"	"MT2765"	"trkA"	"probable potassium uptake protein"
"Rv2692"	"MT2766"	"trkB"	"probable potassium uptake protein"
"Rv2693c"	"MT2767"	"Rv2693c"	"conserved hypothetical protein"
"Rv2694c"	NA	"Rv2694c"	"conserved hypothetical protein"
"Rv2695"	"MT2769"	"Rv2695"	"conserved hypothetical protein"
"Rv2696c"	"MT2770"	"Rv2696c"	"conserved hypothetical protein"
"Rv2697c"	"MT2771"	"dut"	"deoxyuridine triphosphatase"
"Rv2698"	"MT2772"	"Rv2698"	"conserved hypothetical protein"
"Rv2699c"	"MT2773"	"Rv2699c"	"conserved hypothetical protein"
"Rv2700"	"MT2774"	"Rv2700"	"conserved hypothetical protein"
"Rv2701c"	"MT2775"	"suhB"	"putative extragenic suppressor protein"
"Rv2702"	"MT2776"	"ppgK"	"polyphosphate glucokinase"
"Rv2703"	"MT2777"	"sigA"	"RNA polymerase sigma factor (aka MysA, RpoV)"
"Rv2704"	"MT2777.1"	"Rv2704"	"conserved hypothetical protein"
"Rv2705c"	"MT2778"	"Rv2705c"	"hypothetical protein"
"Rv2706c"	NA	"Rv2706c"	"hypothetical protein"
"Rv2707"	"MT2780"	"Rv2707"	"conserved hypothetical protein"
"Rv2708c"	"MT2781"	"Rv2708c"	"conserved hypothetical protein"
"Rv2709"	"MT2782"	"Rv2709"	"conserved hypothetical protein"
"Rv2710;Rv2710"	NA	NA	NA
"Rv2711"	NA	"ideR"	"iron dependent repressor, IdeR"
"Rv2712c"	"MT2785"	"Rv2712c"	"hypothetical protein"
"Rv2713"	"MT2786"	"Rv2713"	"probable dehydrogenase"
"Rv2714"	"MT2787"	"Rv2714"	"conserved hypothetical protein"
"Rv2715"	"MT2788"	"Rv2715"	"2-hydroxymuconic semialdehyde hydrolase"
"Rv2716"	"MT2789"	"Rv2716"	"conserved hypothetical protein"
"Rv2717c"	"MT2790"	"Rv2717c"	"conserved hypothetical protein"
"Rv2718c"	"MT2791"	"Rv2718c"	"conserved hypothetical protein"
"Rv2719c"	"MT2792"	"Rv2719c"	"conserved hypothetical protein"
"Rv2720"	"MT2793"	"lexA"	"LexA, SOS repressor protein"
"Rv2721c"	"MT2794"	"Rv2721c"	"conserved hypothetical protein"
"Rv2722"	"MT2794.1"	"Rv2722"	"hypothetical protein"
"Rv2723"	"MT2795"	"Rv2723"	"probable membrane protein, tellurium resistance"
"Rv2724c"	"MT2796"	"fadE20"	"acyl-CoA dehydrogenase"
"Rv2725c"	"MT2797"	"hflX"	"GTP-binding protein"
"Rv2726c"	"MT2798"	"dapF"	"diaminopimelate epimerase"
"Rv2727c"	"MT2799"	"miaA"	"tRNA [delta](2)-isopentenylpyrophosphate transferase"
"Rv2728c"	"MT2800"	"Rv2728c"	"conserved hypothetical protein"
"Rv2729c"	"MT2801"	"Rv2729c"	"conserved hypothetical protein"
"Rv2730"	"MT2801.1"	"Rv2730"	"hypothetical protein"
"Rv2731"	"MT2802"	"Rv2731"	"hypothetical protein"
"Rv2732c"	"MT2802.1"	"Rv2732c"	"conserved hypothetical protein"
"Rv2733c"	"MT2803"	"Rv2733c"	"conserved hypothetical protein"
"Rv2734"	"MT2803.2"	"Rv2734"	"hypothetical protein"
"Rv2735c"	"MT2804"	"Rv2735c"	"hypothetical protein"
"Rv2736c"	"MT2805"	"recX"	"regulatory protein for RecA"
"Rv2737c"	"MT2806"	"recA"	"recombinase (contains intein)"
"Rv2738c"	"MT2808"	"Rv2738c"	"conserved hypothetical protein"
"Rv2739c"	"MT2808.1"	"Rv2739c"	"glycosyltransferase"
"Rv2740;Rv2740"	NA	NA	NA
"Rv2741;Rv2741"	NA	NA	NA
"Rv2742c"	"MT2813"	"Rv2742c"	"conserved hypothetical protein"
"Rv2743c"	"MT2814"	"Rv2743c"	"conserved hypothetical protein"
"Rv2744c"	"MT2815"	"35kd_ag"	"35-kd antigen"
"Rv2745c"	"MT2816"	"Rv2745c"	"putative transcriptional regulator"
"Rv2746c"	"MT2817"	"pgsA3"	"CDP-diacylglycerol-glycerol-3-phosphate"
"Rv2747"	"MT2818"	"Rv2747"	"conserved hypothetical protein"
"Rv2748c"	"MT2819"	"ftsK"	"chromosome partitioning"
"Rv2749"	NA	"Rv2749"	"conserved hypothetical protein"
"Rv2750"	"MT2820"	"Rv2750"	"putative dehydrogenase"
"Rv2751"	NA	"Rv2751"	"conserved hypothetical protein"
"Rv2752c"	"MT2822"	"Rv2752c"	"conserved hypothetical protein"
"Rv2753c"	"MT2823"	"dapA"	"dihydrodipicolinate synthase"
"Rv2754c"	"MT2824"	"Rv2754c"	"conserved hypothetical protein"
"Rv2755c"	NA	"hsdS "	"type I restriction/modification system specificity"
"Rv2756c"	"MT2826"	"hsdM"	"type I restriction/modification system DNA"
"Rv2757c"	"MT2827"	"Rv2757c"	"conserved hypothetical protein"
"Rv2758c"	NA	"Rv2758c"	"conserved hypothetical protein"
"Rv2759c"	"MT2829"	"Rv2759c"	"conserved hypothetical protein"
"Rv2760c"	"MT2830"	"Rv2760c"	"conserved hypothetical protein"
"Rv2761c"	"MT2831"	"Rv2761c"	"hypothetical protein"
"Rv2762c"	"MT2832"	"Rv2762c"	"hypothetical protein"
"Rv2763c"	"MT2833"	"dfrA"	"dihydrofolate reductase"
"Rv2764c"	"MT2834"	"thyA"	"thymidylate synthase"
"Rv2765"	"MT2835"	"Rv2765"	"hypothetical protein"
"Rv2766c"	"MT2836"	"fabG5"	"3-oxoacyl-[ACP] reductase"
"Rv2767c;Rv2767c"	NA	NA	NA
"Rv2768c"	"MT2838"	"PPE"	"PPE-family protein"
"Rv2769c"	"MT2839"	"PE"	"PE-family protein"
"Rv2770c"	"MT2840"	"PPE"	"PPE-family protein"
"Rv2771c"	"MT2841"	"Rv2771c"	"hypothetical protein"
"Rv2772c"	"MT2842"	"Rv2772c"	"hypothetical protein"
"Rv2773c"	"MT2843"	"dapB"	"dihydrodipicolinate reductase"
"Rv2774c"	"MT2844"	"Rv2774c"	"hypothetical protein"
"Rv2775"	"MT2845"	"Rv2775"	"hypothetical protein"
"Rv2776c"	NA	"Rv2776c"	"probable oxidoreductase"
"Rv2777c"	"MT2847"	"Rv2777c"	"hypothetical protein"
"Rv2778c"	"MT2848"	"Rv2778c"	"conserved hypothetical protein"
"Rv2779c"	"MT2849"	"Rv2779c"	"transcriptional regulator (Lrp/AsnC family)"
"Rv2780"	"MT2850"	"ald"	"L-alanine dehydrogenase"
"Rv2781c"	"MT2851"	"Rv2781c"	"probable oxidoreductase"
"Rv2782c"	NA	"pepR"	"protease/peptidase, M16 family (insulinase)"
"Rv2783c"	"MT2853"	"gpsI"	"pppGpp synthase and polyribonucleotide phosphorylase"
"Rv2784c"	"MT2854"	"lppU"	"lipoprotein"
"Rv2785c"	NA	"rpsO"	"30S ribosomal protein S15"
"Rv2786c"	"MT2856"	"ribF"	"riboflavin kinase"
"Rv2787"	"MT2857"	"Rv2787"	"conserved hypothetical protein"
"Rv2788"	"MT2858"	"sirR"	"iron-dependent transcriptional repressor"
"Rv2789c"	"MT2859"	"fadE21"	"acyl-CoA dehydrogenase"
"Rv2790c"	"MT2860"	"ltp1"	"non-specific lipid transport protein"
"Rv2791c"	"MT2861"	"Rv2791c"	"transposase"
"Rv2792c"	"MT2862"	"Rv2792c"	"resolvase"
"Rv2793c"	"MT2862.1"	"truB"	"tRNA pseudouridine 55 synthase"
"Rv2794c"	"MT2863"	"Rv2794c"	"conserved hypothetical protein"
"Rv2795c"	"MT2864"	"Rv2795c"	"hypothetical protein"
"Rv2796c"	"MT2865"	"lppV"	"lipoprotein"
"Rv2797c"	"MT2866"	"Rv2797c"	"conserved hypothetical protein"
"Rv2798c"	"MT2867"	"Rv2798c"	"conserved hypothetical protein"
"Rv2799"	"MT2867.1"	"Rv2799"	"hypothetical protein"
"Rv2800"	"MT2868"	"Rv2800"	"conserved hypothetical protein"
"Rv2801c"	"MT2869"	"Rv2801c"	"conserved hypothetical protein"
"Rv2802c"	"MT2870"	"Rv2802c"	"hypothetical protein"
"Rv2803c"	NA	"Rv2803c"	"hypothetical protein"
"Rv2804c"	"MT2872"	"Rv2804c"	"hypothetical protein"
"Rv2805"	NA	"Rv2805"	"conserved hypothetical protein"
"Rv2806"	"MT2873"	"Rv2806"	"hypothetical protein"
"Rv2807"	NA	"Rv2807"	"conserved hypothetical protein"
"Rv2808"	"MT2875"	"Rv2808"	"hypothetical protein"
"Rv2809"	"MT2876"	"Rv2809"	"hypothetical protein"
"Rv2810c"	NA	"Rv2810c"	"probable truncated transposase"
"Rv2811;Rv2811"	NA	NA	NA
"Rv2812"	"MT2879"	"Rv2812"	"low similarity to transposases"
"Rv2813"	"MT2880"	"Rv2813"	"probable general secretion pathway protein"
"Rv2814c"	"MT2881"	"Rv2814c"	"possible IS6110 transposase"
"Rv2815c"	NA	"Rv2815c"	"possible IS6110 transposase"
"Rv2816c"	NA	"Rv2816c"	"conserved hypothetical protein"
"Rv2817c"	"MT2884"	"Rv2817c"	"conserved hypothetical protein"
"Rv2818c"	NA	"Rv2818c"	"hypothetical protein"
"Rv2819c"	"MT2886"	"Rv2819c"	"hypothetical protein"
"Rv2820c"	"MT2887"	"Rv2820c"	"hypothetical protein"
"Rv2821c"	"MT2888"	"Rv2821c"	"conserved hypothetical protein"
"Rv2822c"	NA	"Rv2822c"	"hypothetical protein"
"Rv2823c"	"MT2890"	"Rv2823c"	"conserved hypothetical protein"
"Rv2824c"	"MT2891"	"Rv2824c"	"hypothetical protein"
"Rv2825c"	"MT2895.1"	"Rv2825c"	"conserved hypothetical protein"
"Rv2826c"	"MT2893"	"Rv2826c"	"hypothetical protein"
"Rv2827c"	"MT2894"	"Rv2827c"	"hypothetical protein"
"Rv2828c"	"MT2895.1"	"Rv2828c"	"conserved hypothetical protein"
"Rv2829c"	"MT2896"	"Rv2829c"	"conserved hypothetical protein"
"Rv2830c"	NA	"Rv2830c"	"similar to phage P1 phd gene"
"Rv2831"	"MT2897"	"echA16"	"enoyl-CoA hydratase/isomerase superfamily"
"Rv2832c"	"MT2898"	"ugpC"	"sn-glycerol-3-phosphate transport ATP-binding"
"Rv2833c"	"MT2899"	"ugpB"	"sn-glycerol-3-phosphate-binding periplasmic"
"Rv2834c"	"MT2900"	"ugpE"	"sn-glycerol-3-phosphate transport system protein"
"Rv2835c"	"MT2901"	"ugpA"	"sn-glycerol-3-phosphate permease"
"Rv2836c"	"MT2902"	"dinF"	"DNA-damage-inducible protein F"
"Rv2837c"	"MT2903"	"Rv2837c"	"conserved hypothetical protein"
"Rv2838c"	"MT2904"	"rbfA"	"ribosome-binding factor A"
"Rv2839c"	"MT2905"	"infB"	"initiation factor IF-2"
"Rv2840c"	NA	"Rv2840c"	"conserved hypothetical protein"
"Rv2841c"	"MT2907"	"nusA"	"transcription termination factor"
"Rv2842c"	"MT2908"	"Rv2842c"	"conserved hypothetical protein"
"Rv2843"	"MT2909"	"Rv2843"	"hypothetical protein"
"Rv2844"	"MT2910"	"Rv2844"	"hypothetical protein"
"Rv2845c"	"MT2911"	"proS"	"prolyl-tRNA synthase"
"Rv2846c"	"MT2912"	"efpA"	"putative efflux protein"
"Rv2847c"	"MT2913"	"cysG2"	"multifunctional enzyme, siroheme synthase"
"Rv2848c"	"MT2914"	"cobB"	"cobyrinic acid a,c-diamide synthase"
"Rv2849c"	"MT2915"	"cobA"	"cob(I)alamin adenosyltransferase"
"Rv2850c"	NA	"Rv2850c"	"possible magnesium-chelatase"
"Rv2851c"	"MT2917"	"Rv2851c"	"conserved hypothetical protein"
"Rv2852c"	"MT2918"	"Rv2852c"	"conserved hypothetical protein"
"Rv2853"	"MT2919"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv2854"	"MT2921"	"Rv2854"	"hypothetical protein"
